,RNTC,Tprobe,Tcalc,A,B,C,T1,R1,T2,R2,T3,R3
97,9543.485915492958,65.99954,65.99953999999997,0.0009589275745117047,0.0002011291162039631,1.904580167875063e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,65.99954,9543.485915492958
98,9476.553341148887,66.13782,66.13782000000003,0.000978478226098328,0.00019837705398974436,1.985340809965799e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,66.13782,9476.553341148887
99,9276.693925233645,66.55499,66.55498999999998,0.0010361208081523013,0.00019026295245722647,2.223453177618649e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,66.55499,9276.693925233645
100,9276.693925233645,66.69626,66.69626000000005,0.0009939091018717145,0.00019620491512470026,2.049083311332543e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,66.69626,9276.693925233645
101,9144.23076923077,66.97656,66.97656000000006,0.0010322973567610688,0.00019080116347567212,2.2076591061018758e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,66.97656,9144.23076923077
102,9144.23076923077,67.14459,67.14459,0.000983132921367317,0.00019772183229998483,2.004568618153914e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,67.14459,9144.23076923077
103,9078.230500582073,67.26291,67.26291000000009,0.0010090701444692134,0.00019407075953014778,2.1117111746297853e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,67.26291,9078.230500582073
104,9012.383720930233,67.54718,67.54718000000003,0.0009872748519869756,0.00019713879031277672,2.0216782768707509e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,67.54718,9012.383720930233
105,8881.14849187935,67.96753,67.96753000000001,0.0009876478584591262,0.00019708628377543107,2.023219107469742e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,67.96753,8881.14849187935
106,8881.14849187935,68.02542,68.02542,0.0009714123955280127,0.00019937168095849158,1.9561529841158696e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,68.02542,8881.14849187935
107,8815.758980301274,68.12289,68.12288999999993,0.0010035712490054083,0.00019484481569696284,2.088996109278682e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,68.12289,8815.758980301274
108,8750.520833333334,68.2995,68.29950000000002,0.0010136797956633312,0.00019342187850355635,2.1307529128860167e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,68.2995,8750.520833333334
109,8685.43352601156,68.57181,68.57181000000003,0.0009979051559508459,0.00019564240755872857,2.065590377188126e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,68.57181,8685.43352601156
110,8620.496535796767,68.73584,68.73584,0.001011948064992854,0.0001936656468773269,2.123599408039575e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,68.73584,8620.496535796767
111,8620.496535796767,68.95749,68.95749,0.0009523352555652663,0.00020205708895188856,1.8773483434715443e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,68.95749,8620.496535796767
112,8555.709342560554,69.02487,69.02487000000002,0.0009927692185785313,0.00019636537165607928,2.044374634168608e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.02487,8555.709342560554
113,8555.709342560554,69.14954,69.14954000000006,0.0009595940253048366,0.0002010353027554809,1.9073331704405657e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.14954,8555.709342560554
114,8491.07142857143,69.29633,69.29633000000001,0.0009789799126500832,0.00019830643370395237,1.9874131975723455e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.29633,8491.07142857143
115,8491.07142857143,69.44534,69.44533999999999,0.0009397573174681488,0.00020382763189346207,1.8253908753329503e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.44534,8491.07142857143
116,8426.582278481013,69.59323,69.59323,0.0009592142613615491,0.00020108876051334716,1.9057644257996548e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.59323,8426.582278481013
117,8362.241379310344,69.69629,69.69628999999998,0.0009901969468414954,0.00019672745942695655,2.033748987437888e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.69629,8362.241379310344
118,8362.241379310344,69.75363,69.75362999999999,0.0009754108343919912,0.00019880883769648246,1.972669901139566e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.75363,8362.241379310344
119,8362.241379310344,69.8949,69.8949,0.0009390030082682549,0.00020393381279682827,1.8222749436184263e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.8949,8362.241379310344
120,8298.04822043628,69.99628,69.99628000000007,0.0009706511078184147,0.00019947884419703894,1.9530082252841489e-07,24.16681,47643.052837573385,29.62064,37939.718804920914,69.99628,8298.04822043628
